UWI,Formatted UWI,License Number,Formation,Lab Name,Test Interval Top (m),Test Interval Bottom (m),Condensate Flag,Sample Point Description,Sample Pressure,Sample Temperature,Received Pressure,Received Temperature,H2S,CO2,N2,H2,HE,C1,C2,C3,IC4,NC4,IC5,NC5,C6,C7 Plus,C7,C8,C9,C10 Plus,Gas Relative Density,Gas Molecular Weight,Gas Gross Heat Value Moisture Free,Gas Gross Heat Value Moisture And Acid Gas Free,Calculated PCP Sampled,Calculated TCP Sampled,Molecular Weight Of C7 Plus,Province,Sample Date
100101406420W500,100/10-14-064-20W5/00,0026446,Notikewin,Core Laboratories,1541.4,1561.8,N,Test Meter Run,472.0,19.0,430.0,22.0,0.0,0.006,0.0157,0.0,0.0003,0.9049,0.0456,0.0154,0.0027,0.0033,0.0013,0.0009,0.0012,0.0027,,,,,0.627,18.1,,40.72,4589.3,201.5,97.2,AB,2004-08-17
100101406420W500,100/10-14-064-20W5/00,0026446,Notikewin,Core Laboratories,1541.4,1561.8,N,,,,,,0.0,0.0057,0.0082,0.0001,0.0003,0.9116,0.0464,0.0156,0.0027,0.0034,0.0013,0.0009,0.0012,0.0027,,,,,0.624,,,,,,,AB,2001-05-03
100101406420W500,100/10-14-064-20W5/00,0026446,1205 \ NOTIKEWIN,AGAT LABORATORIES LTD.,1541.1,1549.6,Y,,,,,,0.0,0.0053,0.0111,0.0,0.0003,0.9111,0.0469,0.0158,0.0027,0.003,0.0011,0.0008,0.0008,0.0011,,,,,0.619,,,,,,,AB,1999-07-13
100102406420W500,100/10-24-064-20W5/00,0024022,1205 \ NOTIKEWIN,AGAT LABORATORIES LTD.,1487.1,1494.7,Y,,,,,,0.0,0.0053,0.0097,0.0,0.0004,0.9184,0.0426,0.0146,0.0026,0.0028,0.0011,0.0008,0.0008,0.0009,,,,,0.614,,,,,,,AB,1999-07-14
100102406420W500,100/10-24-064-20W5/00,0024022,Notikewin,Core Laboratories,1487.1,1494.7,N,Test Meter Run,415.0,17.0,372.0,22.0,0.0,0.0062,0.011,0.0,0.0004,0.915,0.0422,0.0147,0.0025,0.0031,0.0012,0.0008,0.0009,0.002,,,,,0.619,17.9,,40.55,4596.2,200.8,98.2,AB,2004-08-16
100102406420W500,100/10-24-064-20W5/00,0024022,Notikewin,Core Laboratories,1487.1,1494.7,N,,,,,,0.0,0.0066,0.0108,0.0003,0.0004,0.9131,0.0427,0.0148,0.0026,0.0031,0.0012,0.0008,0.001,0.0026,,,,,0.622,,,,,,,AB,2004-02-27
100102406420W500,100/10-24-064-20W5/00,0024022,Notikewin,Core Laboratories,1487.1,1494.7,N,,,,,,0.0,0.0049,0.0087,0.0001,0.0004,0.9162,0.0449,0.0145,0.0024,0.003,0.0011,0.0008,0.0009,0.0022,,,,,0.618,,,,,,,AB,2001-05-03
100102906418W500,100/10-29-064-18W5/00,0020396,Notikewin,Core Laboratories,1389.9,1404.2,N,,,,,,0.0,0.0088,0.0135,0.0001,0.0004,0.9176,0.0348,0.0141,0.0028,0.003,0.0012,0.0008,0.0009,0.0021,,,,,0.619,,,,,,,AB,2004-02-26
100102906418W500,100/10-29-064-18W5/00,0020396,Notikewin,Core Laboratories,1389.9,1404.2,N,,,,,,0.0,0.0071,0.0129,0.0007,0.0004,0.9207,0.0343,0.014,0.0027,0.0029,0.0012,0.0007,0.0008,0.0016,,,,,0.614,,,,,,,AB,2001-05-03
100110105720W500,100/11-01-057-20W5/00,0078876,CARDIUM FM,Core Labs,2025.0,2825.0,N,,,,,,0.0,0.0072,0.0076,0.0,0.0002,0.8418,0.0854,0.0418,0.005,0.0088,0.0011,0.0008,0.0003,0.0001,,,,,0.67,,,,,,,AB,2000-01-27
100110105720W500,100/11-01-057-20W5/00,0078876,CARDIUM FM,Core Laboratories Canada Ltd.,2025.0,2036.0,N,,,,,,0.0,0.0073,0.008,0.0001,0.0002,0.8536,0.0826,0.0343,0.0032,0.0066,0.0014,0.0013,0.0007,0.0008,,,,,0.661,,,,,,,AB,2000-03-14
100110606518W500,100/11-06-065-18W5/00,0030802,Notikewin,Core Laboratories,1386.5,1390.2,N,,,,,,0.0,0.0057,0.0141,0.0001,0.0004,0.9115,0.038,0.0165,0.0031,0.0038,0.0015,0.0011,0.0013,0.003,,,,,0.626,,,,,,,AB,2004-02-26
100110606518W500,100/11-06-065-18W5/00,0030802,1205 \ NOTIKEWIN,AGAT LABORATORIES LTD.,1386.5,1390.2,Y,,,,,,0.0,0.0048,0.0132,0.0001,0.0004,0.9162,0.0379,0.0165,0.0031,0.0035,0.0014,0.001,0.0011,0.0008,,,,,0.618,,,,,,,AB,1999-07-08
100110606518W500,100/11-06-065-18W5/00,0030802,Notikewin,Core Laboratories,1386.5,1390.2,N,Test Meter Run,428.0,12.0,374.0,22.0,0.0,0.0056,0.0143,0.0001,0.0004,0.91,0.0378,0.0166,0.0031,0.0039,0.0016,0.0012,0.0016,0.0038,,,,,0.63,18.3,,41.05,4582.1,201.8,101.5,AB,2004-08-16
100110606518W500,100/11-06-065-18W5/00,0030802,Notikewin,Core Laboratories,1386.5,1390.2,N,,,,,,0.0,0.0054,0.0132,0.0001,0.0004,0.9127,0.038,0.0165,0.003,0.0038,0.0015,0.0011,0.0014,0.003,,,,,0.626,,,,,,,AB,2001-05-03
100111905320W500,100/11-19-053-20W5/00,0407490,Cardium,Maxxam Analytics,2303.0,2808.3,N,METER RUN,1400.0,11.0,1075.0,21.0,0.0,0.0097,0.0037,0.0,0.0001,0.8177,0.0889,0.0453,0.0064,0.0143,0.0044,0.0043,0.003,0.0022,,,,,0.712,20.6,,46.37,4591.8,218.6,95.0,AB,2009-05-20
100112205519W500,100/11-22-055-19W5/00,0124020,Cardium,Core Laboratories,1971.0,1975.0,N,,,,,,0.0,0.0114,0.0042,0.0001,0.0001,0.7954,0.0972,0.0561,0.0083,0.0173,0.0043,0.004,0.0007,0.001,,,,,0.726,,,,,,,AB,2000-07-05
100112205519W500,100/11-22-055-19W5/00,0124020,Cardium,Core Laboratories,1971.0,1975.0,N,,,,,,0.0,0.0108,0.0051,0.0001,0.0001,0.7988,0.0968,0.0546,0.0075,0.0163,0.0036,0.0033,0.0018,0.0013,,,,,0.723,,,,,,,AB,2000-07-05
100112205519W500,100/11-22-055-19W5/00,0124020,Cardium,Core Laboratories,1971.0,1975.0,N,,,,,,0.0,0.0218,0.0028,0.0,0.0001,0.7712,0.1107,0.0627,0.0089,0.0162,0.0027,0.0015,0.0005,0.0009,,,,,0.739,,,,,,,AB,2000-07-05
100112305620W500,100/11-23-056-20W5/00,0127375,Cardium,Core Laboratories,2095.0,2114.0,N,Separator Meter Run,225.0,17.0,202.0,22.0,0.0,0.0109,0.0084,0.0,0.0001,0.6378,0.1529,0.1166,0.0133,0.034,0.0074,0.0073,0.0067,0.0046,,,,,0.88,25.5,,55.93,4546.9,248.4,91.5,AB,2007-07-09
100120106519W502,100/12-01-065-19W5/02,0024668,Notikewin,Core Laboratories,1424.0,1431.6,N,,,,,,0.0,0.0058,0.011,0.0001,0.0004,0.9138,0.0427,0.0148,0.0026,0.0032,0.0012,0.0009,0.0012,0.0024,,,,,0.621,,,,,,,AB,2004-02-26
100120106519W502,100/12-01-065-19W5/02,0024668,Notikewin,Core Laboratories,1424.0,1431.6,N,Test Meter Run,360.0,19.0,322.0,22.0,0.0,0.0057,0.0132,0.0,0.0004,0.9112,0.0418,0.0151,0.0026,0.0033,0.0013,0.0009,0.0012,0.0033,,,,,0.625,18.1,,40.79,4589.3,201.4,99.4,AB,2004-08-14
100120106519W502,100/12-01-065-19W5/02,0024668,Notikewin,Core Laboratories,1424.0,1431.6,N,,,,,,0.0,0.0052,0.0125,0.0001,0.0004,0.9123,0.0424,0.0151,0.0026,0.0033,0.0013,0.0009,0.0012,0.0027,,,,,0.623,,,,,,,AB,2001-05-03
100120605319W500,100/12-06-053-19W5/00,0377772,Cardium,Core Laboratories,2305.5,2325.0,N,Meter Run,207.0,5.0,208.0,22.0,0.0,0.0049,0.0087,0.0001,0.0001,0.7522,0.1104,0.0668,0.0094,0.0248,0.0067,0.0069,0.005,0.004,,,,,0.779,22.6,,50.17,4551.0,229.8,92.6,AB,2007-09-21
100121906419W500,100/12-19-064-19W5/00,0158358,Notikewin,Core Laboratories,1467.5,1486.5,N,,,,,,0.0,0.0036,0.0164,0.0057,0.0003,0.905,0.0429,0.0154,0.0027,0.0033,0.0012,0.0008,0.0009,0.0018,,,,,0.617,,,,,,,AB,2004-02-27
100121906419W500,100/12-19-064-19W5/00,0158358,Notikewin,Core Laboratories,1467.5,1486.5,N,Test Meter Run,458.0,16.0,386.0,22.0,0.0,0.006,0.0128,0.0,0.0002,0.9127,0.0425,0.0153,0.0026,0.0032,0.0012,0.0008,0.0009,0.0018,,,,,0.62,18.0,,40.5,4594.6,200.8,96.2,AB,2004-08-17
100121906419W500,100/12-19-064-19W5/00,0158358,Notikewin,Core Laboratories,1467.5,1486.5,N,,,,,,0.0,0.0057,0.0096,0.0001,0.0004,0.9132,0.0438,0.0154,0.0026,0.0033,0.0013,0.0009,0.0011,0.0027,,,,,0.623,,,,,,,AB,2001-05-03
100121906419W500,100/12-19-064-19W5/00,0158358,"01298 \ NOTIKEWIN ""B",AGAT LABORATORIES LTD.,1467.5,1475.0,Y,,,,,,0.0,0.0058,0.0079,0.0002,0.0003,0.9191,0.0436,0.0137,0.0026,0.0029,0.0012,0.0008,0.0008,0.0011,,,,,0.614,,,,,,,AB,1999-07-10
100122105519W500,100/12-21-055-19W5/00,0214686,Cardium,Core Laboratories,1989.0,1994.0,N,,,,,,0.0,0.0054,0.0067,0.0,0.0001,0.8263,0.0844,0.0473,0.0058,0.0145,0.0035,0.0031,0.0017,0.0012,,,,,0.699,,,,,,,AB,2000-07-05
100122105519W500,100/12-21-055-19W5/00,0214686,Cardium,Core Laboratories,1989.0,1994.0,N,,,,,,0.0,0.0054,0.0069,0.0,0.0001,0.8306,0.0844,0.0459,0.0054,0.0128,0.0033,0.0031,0.0009,0.0012,,,,,0.692,,,,,,,AB,2000-07-05
100122105519W500,100/12-21-055-19W5/00,0214686,Cardium,Core Laboratories,1989.0,1994.0,N,,,,,,0.0,0.0054,0.0073,0.0,0.0002,0.8316,0.0844,0.0448,0.0052,0.0115,0.0032,0.0028,0.0015,0.0021,,,,,0.693,,,,,,,AB,2000-07-05
100122105519W500,100/12-21-055-19W5/00,0214686,U Mann A & Cadomin I,Core Laboratories Canada,2419.0,2437.2,N,Separator Gas Leg at 11-22,510.0,21.0,468.0,22.0,0.0,0.0052,0.0063,0.0,0.0001,0.8196,0.0846,0.047,0.0062,0.0159,0.0046,0.0042,0.0032,0.0031,,,,,0.713,20.7,,46.52,4571.0,218.5,95.3,AB,2008-10-28
100122306419W500,100/12-23-064-19W5/00,0015291,Notikewin,Core Laboratories,1413.7,1417.3,N,Test Meter Run,325.0,21.0,256.0,22.0,0.0,0.0055,0.0166,0.0,0.0003,0.8538,0.0774,0.0269,0.0046,0.0071,0.0021,0.0017,0.0015,0.0025,,,,,0.664,19.2,,42.94,4584.5,208.9,95.5,AB,2004-08-16
100122306419W500,100/12-23-064-19W5/00,0015291,"01297 \ NOTIKEWIN ""A",AGAT LABORATORIES LTD.,1413.7,1417.3,Y,,,,,,0.0,0.005,0.0065,0.0001,0.0003,0.8673,0.0769,0.0257,0.0045,0.0062,0.0019,0.0016,0.0015,0.0025,,,,,0.657,,,,,,,AB,1999-07-11
100122306419W500,100/12-23-064-19W5/00,0015291,Notikewin,Core Laboratories,1413.7,1417.3,N,Wet Gas Meter,276.0,23.0,264.0,22.0,0.0,0.006,0.0096,0.0,0.0003,0.8615,0.0759,0.0263,0.0046,0.0071,0.0021,0.0018,0.0017,0.0031,,,,,0.663,19.2,,43.27,4592.3,209.4,101.1,AB,2005-06-29
100122306419W500,100/12-23-064-19W5/00,0015291,Notikewin,Core Laboratories,1413.7,1417.3,N,,,,,,0.0,0.0055,0.0087,0.0001,0.0003,0.8579,0.0801,0.0273,0.0046,0.0072,0.0021,0.0017,0.0016,0.003,,,,,0.665,,,,,,,AB,2001-05-03
100122306419W500,100/12-23-064-19W5/00,0015291,Notikewin,Core Laboratories,1413.7,1417.3,N,,,,,,0.0,0.006,0.0096,0.0001,0.0003,0.8583,0.0794,0.0273,0.0046,0.0072,0.002,0.0017,0.0014,0.0022,,,,,0.662,,,,,,,AB,2004-02-26
100131405720W500,100/13-14-057-20W5/00,0415311,CARDIUM KK,AGAT Laboratories,2341.0,3350.0,N,SEPARATOR METER RUN,140.0,6.0,150.0,21.0,0.0,0.007,0.0563,0.0001,0.0001,0.6987,0.0862,0.0833,0.0118,0.0334,0.0084,0.0081,0.0044,0.0022,,,,,0.821,23.8,,49.62,4474.4,229.7,101.5,AB,2010-02-19
100132205720W500,100/13-22-057-20W5/00,0411840,Cardium KK,AGAT Laboratories,1932.8,2479.0,N,METER RUN,69.0,25.0,70.0,21.0,0.0,0.0045,0.0191,0.0,0.0,0.4467,0.1407,0.1965,0.0318,0.0897,0.0255,0.0245,0.0138,0.0072,,,,,1.153,33.4,,71.66,4357.4,290.0,102.3,AB,2009-12-20
100140706022W500,100/14-07-060-22W5/00,0080000,Cardium B,Core Laboratories Canada,1819.5,1827.0,Y,"1"" Bypass",9.0,-7.0,1.0,22.0,0.0,0.0055,0.021,0.0,0.0002,0.8462,0.0513,0.0387,0.0059,0.0151,0.0049,0.0049,0.0033,0.003,,,,,0.696,20.2,,44.54,4547.3,212.3,95.4,AB,2012-03-22
100143205514W500,100/14-32-055-14W5/00,0150547,Gething D,Core Laboratories,2136.0,2138.0,Y,,,,,,0.0,0.0193,0.0062,0.0,0.0002,0.7838,0.0957,0.059,0.0078,0.0154,0.0036,0.0038,0.0025,0.0027,,,,,0.742,,,,,,,AB,2000-10-31
100151206023W500,100/15-12-060-23W5/00,0409444,Cardium,AGAT Laboratories,1797.4,2350.8,N,METER RUN,180.0,16.0,180.0,21.0,0.0,0.003,0.2569,0.0,0.0001,0.5102,0.0597,0.0849,0.014,0.0373,0.0104,0.0101,0.0078,0.0056,,,,,0.924,26.8,,43.29,4191.8,218.4,105.2,AB,2009-09-04
100152205216W500,100/15-22-052-16W5/00,0044453,Cardium B,Core Laboratories Canada,1899.5,1903.8,N,Separator Meter Run,623.0,11.0,627.0,22.0,0.0,0.0064,0.0077,0.0,0.0001,0.809,0.0878,0.0559,0.0058,0.0152,0.0039,0.0041,0.0023,0.0018,,,,,0.716,20.7,,46.54,4576.5,219.3,92.8,AB,2009-11-06
100152805418W500,100/15-28-054-18W5/00,0087554,Cardium Coalspur,Core Laboratories,1843.0,1867.0,N,Wellhead Tubing,975.0,18.0,936.0,22.0,0.0,0.0047,0.0074,0.0,0.0001,0.835,0.0872,0.0412,0.0045,0.0105,0.0026,0.0026,0.002,0.0022,,,,,0.686,19.9,,44.83,4587.5,214.3,93.4,AB,2007-07-09
100161905320W500,100/16-19-053-20W5/00,0366084,Cardium,Core Laboratories,2294.0,2300.0,N,Meter Run,570.0,-8.0,580.0,22.0,0.0,0.0085,0.0043,0.0,0.0001,0.8303,0.0859,0.042,0.0056,0.0126,0.0037,0.0034,0.0021,0.0015,,,,,0.695,20.1,,45.4,4596.6,215.9,95.0,AB,2007-03-04
100161905320W500,100/16-19-053-20W5/00,0366084,Commingled MFP9502,Maxxam Analytics,2294.0,2300.0,Y,METER RUN,1400.0,13.0,1001.0,20.0,0.0,0.0092,0.0039,0.0,0.0001,0.8247,0.0874,0.043,0.0057,0.0134,0.004,0.0038,0.0027,0.0021,,,,,0.703,20.4,,45.88,4593.8,217.2,95.0,AB,2012-05-03
102022006419W500,102/02-20-064-19W5/00,0188066,1205 \ NOTIKEWIN,AGAT LABORATORIES LTD.,1460.0,1474.0,Y,,,,,,0.0,0.0054,0.007,0.0003,0.0003,0.9158,0.0473,0.014,0.0027,0.0032,0.0012,0.0009,0.0008,0.0011,,,,,0.616,,,,,,,AB,1999-07-09
102022006419W500,102/02-20-064-19W5/00,0188066,Notikewin,Core Laboratories,1460.0,1473.0,N,Test Meter Run,397.0,18.0,350.0,22.0,0.0,0.0059,0.0103,0.0,0.0003,0.9098,0.0457,0.0156,0.0027,0.0036,0.0013,0.001,0.001,0.0028,,,,,0.625,18.1,,41.0,4594.9,202.0,102.7,AB,2004-08-18
102022006419W500,102/02-20-064-19W5/00,0188066,Notikewin,Core Laboratories,1460.0,1473.0,N,,,,,,0.0,0.0054,0.0078,0.0001,0.0003,0.9125,0.0473,0.0157,0.0027,0.0035,0.0013,0.0009,0.001,0.0016,,,,,0.621,,,,,,,AB,2001-05-03
102022006419W500,102/02-20-064-19W5/00,0188066,Notikewin,Core Laboratories,1460.0,1473.0,N,,,,,,0.0,0.0058,0.0109,0.0001,0.0003,0.9094,0.0465,0.0156,0.0027,0.0035,0.0013,0.0009,0.0011,0.002,,,,,0.623,,,,,,,AB,2004-02-27
102100705318W500,102/10-07-053-18W5/00,0149762,Second White Specks,Core Laboratories Canada,2232.0,2247.0,N,Gas Leg,530.0,22.0,521.0,22.0,0.0,0.012,0.0055,0.0,0.0002,0.8081,0.076,0.0526,0.0052,0.0207,0.0062,0.0074,0.0042,0.0019,,,,,0.734,21.3,,47.49,4578.3,221.5,88.5,AB,2010-09-30
